Marca, Modelo, Ano, Placa, Status
Toyota,Corolla,2022,UAV6N22,Em Manutenção
Toyota,Yaris,2018,GDF5O76,Em Manutenção
Ford,Fiesta,2020,BHL5I75,Em Manutenção
Ford,EcoSport,2021,JJG8P64,Disponível
Chevrolet,Onix,2023,TET5N13,Em Manutenção
Chevrolet,Tracker,2022,AAN8U56,Em Manutenção
Nissan,Versa,2021,TKU2P22,Em Manutenção
Nissan,Kicks,2020,DBD6U12,Reservado
BMW,3 Series,2022,YFG7G54,Em Manutenção
BMW,X5,2021,ISX1U96,Reservado
Mercedes-Benz,C-Class,2023,WZB8L76,Reservado
Mercedes-Benz,GLC,2020,CBZ8A90,Em Manutenção
Audi,A4,2023,GYC5L59,Disponível
Audi,Q3,2021,FOS7A78,Reservado
Volkswagen,Polo,2022,PBI4O92,Disponível
Volkswagen,Tiguan,2020,ATJ1G05,Reservado
Porsche,911 Carrera,2021,EET0C89,Em Manutenção
Porsche,Cayenne,2023,JRH8M44,Disponível
Mazda,CX-5,2021,ZQO5O91,Em Manutenção
Mazda,Mazda3,2020,GSH0B56,Em Manutenção
Subaru,Outback,2022,TIB3K13,Reservado
Subaru,XV Crosstrek,2021,ZBX6S68,Disponível
Tesla,Model 3,2023,QWL5W55,Reservado
Tesla,Model S,2022,UDX2I38,Reservado
Dodge,Charger,2020,BLD3R21,Disponível
Dodge,Durango,2021,HYU6N11,Disponível
Ram,1500,2022,CLN6G44,Reservado
Ram,2500,2021,ICM8Q57,Reservado
Volvo,XC60,2022,BEP7R30,Disponível
Volvo,S90,2020,RER8O02,Em Manutenção
Fiat,500,2019,VHV9X52,Em Manutenção
Fiat,Cronos,2021,AVJ2E10,Reservado
Peugeot,208,2022,MEP7Q21,Em Manutenção
Peugeot,3008,2020,TVS6N38,Disponível
Renault,Duster,2023,VSO6N91,Em Manutenção
Renault,Kwid,2021,MKR7C42,Reservado
Bugatti,Chiron,2022,GES3R27,Em Manutenção
Bugatti,Veyron,2018,ZJJ8L06,Em Manutenção
Suzuki,Swift,2021,IPZ2O32,Disponível
Suzuki,Vitara,2022,UJX5M31,Disponível
Honda,Civic,2023,MOT8P60,Em Manutenção
Honda,HR-V,2022,APS1I69,Disponível